192.168.1.19,5353,5353,224.0.0.251,2025-07-17 14:37:14.47028,2025-07-17 14:37:14.470286,udp,0,255,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,udp,0
192.168.1.18,54707,443,134.224.240.222,2025-07-17 14:37:15.90933,2025-07-17 14:37:15.909332,tcp,0,128,0,507,1,1,0,0,0,0,0,0,0,0,1,1.0,tcp,0
134.224.240.222,443,54707,192.168.1.18,2025-07-17 14:37:16.15826,2025-07-17 14:37:16.158261,tcp,0,51,0,57,1,218,0,0,0,0,0,0,0,0,1,1.0,tcp,0
134.224.240.222,443,54707,192.168.1.18,2025-07-17 14:37:16.15826,2025-07-17 14:37:16.158261,tcp,0,51,0,57,1,218,0,0,0,0,0,0,0,0,1,1.0,tcp,0
192.168.1.18,54707,443,134.224.240.222,2025-07-17 14:37:16.19786,2025-07-17 14:37:16.197868,tcp,0,128,0,506,218,196,0,0,0,0,0,0,0,0,1,1.0,tcp,0
192.168.1.18,57621,57621,192.168.1.255,2025-07-17 14:37:16.20455,2025-07-17 14:37:16.204550,udp,0,128,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,udp,0
192.168.1.18,54707,443,134.224.240.222,2025-07-17 14:37:19.73939,2025-07-17 14:37:19.739397,tcp,0,128,0,506,218,196,0,0,0,0,0,0,0,0,1,1.0,tcp,0
192.168.1.18,64140,443,20.42.73.25,2025-07-17 14:37:19.87910,2025-07-17 14:37:19.879105,tcp,0,128,0,255,1,1,0,0,0,0,0,0,0,0,1,1.0,tcp,0
192.168.1.18,64140,443,20.42.73.25,2025-07-17 14:37:19.88082,2025-07-17 14:37:19.880823,tcp,0,128,0,255,1,1,0,0,0,0,0,0,0,0,1,1.0,tcp,0
192.168.1.18,64144,443,20.42.73.25,2025-07-17 14:37:20.11716,2025-07-17 14:37:20.117161,tcp,0,128,0,255,1,1,0,0,0,0,0,0,0,0,1,1.0,tcp,0
192.168.1.18,64144,443,20.42.73.25,2025-07-17 14:37:20.11758,2025-07-17 14:37:20.117585,tcp,0,128,0,255,1,1,0,0,0,0,0,0,0,0,1,1.0,tcp,0
192.168.1.18,54696,5938,34.101.50.132,2025-07-17 14:37:20.70342,2025-07-17 14:37:20.703422,tcp,0,128,0,251,1,1,0,0,0,0,0,0,0,0,1,1.0,tcp,0
